Contactor initially off.....!
ADC Complete!
Setup Complete!
Timer Setup Complete!
SPI Setup Complete!
CAN Setup Complete!
Yes it has connected Successfully!There are 4 devices!
UV Limit set to = 0.555
OV_limit set to = 3.500
OVTF limit set to = 35degreeC,,,,Device1,,,,,,,,,,Device2,,,,,,,,,,Device3,,,,,,,,,,Device4,,,,,,
Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW
0.993,1.000,11.987,31.525,32.564,0,0,0,0,,0.993,1.000,11.938,32.046,32.614,0,0,0,0,,0.993,1.000,12.074,33.818,34.470,0,0,0,0,,0.993,1.000,12.040,31.549,31.936,0,0,0,0,
0.993,1.000,11.987,31.525,32.564,0,0,0,0,,0.993,1.000,11.938,32.046,32.614,0,0,0,0,,0.993,1.000,12.074,33.818,34.470,0,0,0,0,,0.993,1.000,12.050,31.501,31.876,0,0,0,0,
0.993,1.000,11.997,31.585,32.639,0,0,0,0,,0.993,1.000,11.340,32.157,32.738,0,0,0,0,,0.993,1.000,11.700,33.870,34.510,0,0,0,0,,0.993,1.000,12.050,31.501,31.876,0,0,0,0,
0.993,1.000,11.997,31.585,32.639,0,0,0,0,,0.993,1.000,11.340,32.157,32.738,0,0,0,0,,0.993,1.000,11.700,33.870,34.510,0,0,0,0,,0.993,1.000,12.050,31.465,31.851,0,0,0,0,
0.993,1.000,11.987,31.742,32.851,0,0,0,0,,0.993,1.000,11.953,32.292,32.901,0,0,0,0,,0.993,1.000,12.079,33.973,34.602,0,0,0,0,,0.993,1.000,12.050,31.465,31.851,0,0,0,0,
0.993,1.000,11.987,31.742,32.851,0,0,0,0,,0.993,1.000,11.953,32.292,32.901,0,0,0,0,,0.993,1.000,12.079,33.973,34.602,0,0,0,0,,0.993,1.000,12.045,31.441,31.803,0,0,0,0,
0.992,0.999,11.987,32.576,33.999,0,0,0,0,,0.992,0.999,11.724,32.366,32.989,0,0,0,0,,0.992,0.999,12.074,33.973,34.589,0,0,0,0,,0.992,0.999,12.045,31.441,31.803,0,0,0,0,
0.992,0.999,11.987,32.576,33.999,0,0,0,0,,0.992,0.999,11.724,32.366,32.989,0,0,0,0,,0.992,0.999,12.074,33.973,34.589,0,0,0,0,,0.992,0.999,12.050,31.405,31.778,0,0,0,0,
0.992,1.000,11.987,32.801,33.934,0,0,0,0,,0.992,1.000,11.933,32.477,33.599,0,0,0,0,,0.992,1.000,12.065,33.908,34.510,0,0,0,0,,0.992,1.000,12.050,31.405,31.778,0,0,0,0,
0.992,1.000,11.987,32.801,33.934,0,0,0,0,,0.992,1.000,11.933,32.477,33.599,0,0,0,0,,0.992,1.000,12.065,33.908,34.510,0,0,0,0,,0.992,1.000,11.690,31.369,31.742,0,0,0,0,
0.994,1.000,11.997,32.751,33.857,0,0,0,0,,0.994,1.000,11.938,32.763,38.305,0,0,0,0,,0.994,1.000,11.797,33.999,34.602,0,0,0,0,,0.994,1.000,11.690,31.369,31.742,0,0,0,0,
